tempo= 125
153.56041666666667 e
154.03125 fI
154.0625 O
154.10416666666666 a
154.53541666666666 Q
155.03541666666666 *
155.0375 r
155.52916666666667 T
156.01458333333332 *
156.0375 Q
156.03958333333333 $
156.06458333333333 S
156.06875 G
156.07708333333332 p
156.53125 Q
156.78125 0
157.03125 r
157.53125 T
157.53333333333333 Q
157.5625 e
158.03125 I
158.54583333333332 Q
159.03125 e
159.03958333333333 *
159.525 Q
159.54583333333332 T
160.25 O
160.29166666666666 Q
160.375 *
160.49166666666667 $
160.49583333333334 u
160.6125 T
160.89375 e
164.4125 S
165.11041666666668 L
166.05416666666667 H
166.07291666666666 y
166.59166666666667 I
166.85833333333332 H
167.09375 a
167.56041666666667 G
167.60833333333332 S
168.07708333333332 G
168.53333333333333 I
169.06875 a
169.625 S
170.07291666666666 f
170.58541666666667 I
171.07708333333332 a
171.58541666666667 S
171.63958333333332 G
171.8625 H
172.0625 jG
172.54791666666668 I
172.82291666666666 k
173.025 a
173.53125 j
173.57708333333332 S
173.8125 H
173.99166666666667 G
174.04583333333332 T
174.54583333333332 I
174.74166666666667 G
175.0625 p
175.45208333333332 f
175.57708333333332 S
176.03125 f
176.55208333333334 I
177.07083333333333 p
177.57708333333332 a
178.07708333333332 D
178.5625 I
179.08541666666667 a
179.57708333333332 S
180.0625 f
180.53125 I
181.03125 a
181.54583333333332 S
182.05416666666667 9
182.06041666666667 O
182.55416666666667 W
182.80416666666667 O
183.03125 r
183.53125 I
183.55416666666667 T
184.03125 I
184.53125 Q
185.06666666666666 r
185.55416666666667 T
186.07708333333332 u
186.52708333333334 Q
187.0625 r
187.51458333333332 I
187.55416666666667 T
188.05416666666667 u
188.06458333333333 O
188.53125 Q
188.80416666666667 p
189.05416666666667 r
189.51458333333332 T
189.55416666666667 a
190.04583333333332 O
190.05833333333334 a
190.0625 $
190.53958333333333 *
190.8125 p
190.83541666666667 S
191.07083333333333 W
191.5625 S
191.59375 p
191.6 e
192.11041666666668 u
192.61458333333334 e
193.15625 Q
193.67083333333332 *
194.31041666666667 O
194.43541666666667 Q
194.52291666666667 *
194.54583333333332 u
194.7875 T
194.86666666666667 $
194.98125 e
197.04583333333332 I
197.05833333333334 L
197.0625 S
197.06875 Q
197.56041666666667 p
197.5625 x
197.575 f
